日期,timestamp,peak2_reading_diff,peak_reading_diff,flat_reading_diff,valley_reading_diff,deep_valley_reading_diff,multiplier,total_fee
2025-01-01,2025-01-01,0.4007,0.9113,0.9525,1.7056,0.0006,2000,396153.84
2025-02-01,2025-02-01,79.3612,66.7212,60.8221,0.0231,8578.3177,2000,339554.56
2025-04-01,2025-04-01,50.3573,34.185,52.4851,0.0,0.0,2000,223015.61
2025-06-01,2025-06-01,0.9113,7.28,1.7056,8.2,5.76,2000,227858.01
2025-07-01,2025-07-01,26.2343,49.1098,46.3449,52.5108,9.373968,2000,304545.46
2025-10-01,2025-10-01,52.8645,45.226,32.9425,1.9215,14.7725,2000,242412.92
2025-12-01,2025-12-01,28771.0,75595.0,72679.0,59678.0,26302.0,2000,231578.26
