timestamp,peak2_reading_diff,peak_reading_diff,flat_reading_diff,valley_reading_diff,deep_valley_reading_diff,multiplier,total_fee
2025-01-01,0.4007,0.9113,0.9525,0.7056,0.0006,2000,396153.84
2025-02-01,79.3612,66.7212,60.8221,0.0231,8578.3177,2000,339554.56
2025-03-01,79.4568,61.8941,75.5235,8795.1921,8578.3177,2000,333313.42
2025-05-01,48.4194,30.715,49.5995,0.9052,9061.8586,2000,215252.86
2025-06-01,58.9608,36.7999,42.1489,9199.7682,9061.8586,2000,227858.01
2025-08-01,27.7171,53.2166,46.3069,51.491,9552.6996,2000,316251.1
2025-10-01,52.8645,45.226,32.9425,1.9215,0.2135,2000,242412.92
2025-12-01,15.9838,41.9973,40.3775,33.1544,10154.7421,2000,231578.26
